matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
618,2.20.1,1,Johan Botha,224,False,Andre Russell,177,Kevon Cooper,232,False,SEAM,34.266,,1,1,1,0.0,-0.172,4.048,0.032,0.419,68.0,80.0
618,2.20.2,2,Andre Russell,177,True,Johan Botha,224,Kevon Cooper,232,False,SEAM,37.417,,1,1,1,0.0,0.096,1.75,0.209,0.27,86.0,58.0
618,2.20.3,3,Johan Botha,224,False,Andre Russell,177,Kevon Cooper,232,False,SEAM,38.222,lbw kevon cooper,0,0,0,0.0,-0.076,2.171,0.055,0.308,0.0,0.0
618,2.20.4,4,Irfan Pathan,49,False,Andre Russell,177,Kevon Cooper,232,False,SEAM,38.141,,1,1,1,0.0,-0.178,2.542,-0.097,0.355,42.0,25.0
618,2.20.5,5,Andre Russell,177,True,Irfan Pathan,49,Kevon Cooper,232,False,SEAM,37.65,b kevon cooper,0,0,0,0.0,-0.162,2.063,-0.064,0.286,0.0,0.0
618,2.20.6,6,Naman Ojha,52,True,Irfan Pathan,49,Kevon Cooper,232,False,SEAM,38.224,,0,0,0,0.0,-0.779,3.194,-0.766,0.396,5.0,5.0
619,1.1.1,1,Ricky Ponting,361,True,Sachin Tendulkar,97,Dirk Nannes,237,False,SEAM,37.392,,0,0,0,0.0,0.082,3.878,-0.034,0.565,66.0,38.0
619,1.1.2,2,Ricky Ponting,361,True,Sachin Tendulkar,97,Dirk Nannes,237,False,SEAM,,,2,2,2,0.0,0.066,6.107,-0.158,0.596,37.0,43.0
619,1.1.3,3,Ricky Ponting,361,True,Sachin Tendulkar,97,Dirk Nannes,237,False,SEAM,39.476,,0,0,0,0.0,0.057,6.102,-0.093,0.737,36.0,40.0
619,1.1.4,4,Ricky Ponting,361,True,Sachin Tendulkar,97,Dirk Nannes,237,False,SEAM,40.298,,1,1,1,0.0,-0.697,3.574,-1.314,0.514,18.0,19.0
619,1.1.5,5,Sachin Tendulkar,97,True,Ricky Ponting,361,Dirk Nannes,237,False,SEAM,37.749,lbw dirk nannes,0,0,0,0.0,0.105,5.536,0.069,0.643,0.0,0.0
619,1.1.6,6,Dinesh Karthik,102,True,Ricky Ponting,361,Dirk Nannes,237,False,SEAM,40.088,,1,1,1,0.0,0.014,6.841,-0.254,0.73,40.0,40.0
619,1.2.1,1,Dinesh Karthik,102,True,Ricky Ponting,361,Ankit Rajpoot,1106,False,SEAM,,,0,0,0,0.0,,,,,5.0,5.0
619,1.2.2,2,Dinesh Karthik,102,True,Ricky Ponting,361,Ankit Rajpoot,1106,False,SEAM,,,0,0,0,0.0,,,,,5.0,5.0
619,1.2.3,3,Dinesh Karthik,102,True,Ricky Ponting,361,Ankit Rajpoot,1106,False,SEAM,36.627,,4,4,4,0.0,-0.53,7.577,-0.685,0.857,10.0,27.0
619,1.2.4,4,Dinesh Karthik,102,True,Ricky Ponting,361,Ankit Rajpoot,1106,False,SEAM,36.687,,1,1,1,0.0,-0.497,8.254,-0.517,0.911,44.0,57.0
619,1.2.5,5,Ricky Ponting,361,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,36.003,,1,1,1,0.0,-0.381,7.308,-0.505,0.855,18.0,19.0
619,1.2.6,6,Dinesh Karthik,102,True,Ricky Ponting,361,Ankit Rajpoot,1106,False,SEAM,36.878,,1,1,1,0.0,-0.252,9.312,-0.2,0.864,32.0,28.0
619,1.3.1,1,Dinesh Karthik,102,True,Ricky Ponting,361,Dirk Nannes,237,False,SEAM,39.943,,1,1,1,0.0,0.235,10.73,-0.565,1.389,28.0,12.0
619,1.3.2,2,Ricky Ponting,361,True,Dinesh Karthik,102,Dirk Nannes,237,False,SEAM,39.234,,1,1,1,0.0,0.317,9.805,-0.142,1.144,87.0,25.0
619,1.3.3,3,Dinesh Karthik,102,True,Ricky Ponting,361,Dirk Nannes,237,False,SEAM,39.443,,1,1,1,0.0,-0.588,-0.762,-0.53,0.162,40.0,56.0
619,1.3.4,4,Ricky Ponting,361,True,Dinesh Karthik,102,Dirk Nannes,237,False,SEAM,38.947,,1,0,0,0.0,0.29,6.807,0.166,0.745,5.0,5.0
619,1.3.5,5,Dinesh Karthik,102,True,Ricky Ponting,361,Dirk Nannes,237,False,SEAM,38.865,,1,1,1,0.0,0.297,11.307,-0.461,1.413,27.0,13.0
619,1.3.6,6,Ricky Ponting,361,True,Dinesh Karthik,102,Dirk Nannes,237,False,SEAM,39.887,,1,1,1,0.0,0.113,5.241,-0.133,0.655,62.0,25.0
619,1.4.1,1,Ricky Ponting,361,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,37.046,,0,0,0,0.0,-0.608,9.253,-0.875,0.906,5.0,5.0
619,1.4.2,2,Ricky Ponting,361,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,38.405,c ravichandran ashwin b ankit rajpoot,0,0,0,0.0,-0.427,13.651,-0.353,1.835,0.0,0.0
619,1.4.3,3,Rohit Sharma,107,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,37.312,,1,0,1,0.0,-0.727,9.896,-1.21,1.143,5.0,5.0
619,1.4.4,3,Rohit Sharma,107,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,36.747,,0,0,0,0.0,-0.519,8.982,-0.633,0.77,44.0,21.0
619,1.4.5,4,Rohit Sharma,107,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,36.98,,0,0,0,0.0,-0.397,7.588,-0.389,0.85,36.0,27.0
619,1.4.6,5,Rohit Sharma,107,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,36.413,,4,4,4,0.0,-0.4,5.743,-0.523,0.584,22.0,80.0
619,1.4.7,6,Rohit Sharma,107,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,35.873,,1,1,1,0.0,-0.573,9.883,-0.679,1.285,19.0,20.0
619,1.5.1,1,Rohit Sharma,107,True,Dinesh Karthik,102,Dirk Nannes,237,False,SEAM,39.926,,0,0,0,0.0,0.002,7.047,-0.468,0.513,36.0,39.0
619,1.5.2,2,Rohit Sharma,107,True,Dinesh Karthik,102,Dirk Nannes,237,False,SEAM,39.428,,1,1,1,0.0,0.398,11.865,-0.339,1.657,76.0,17.0
619,1.5.3,3,Dinesh Karthik,102,True,Rohit Sharma,107,Dirk Nannes,237,False,SEAM,39.755,,3,3,3,0.0,-0.37,0.097,-0.378,0.043,44.0,59.0
619,1.5.4,4,Rohit Sharma,107,True,Dinesh Karthik,102,Dirk Nannes,237,False,SEAM,37.833,,1,1,1,0.0,0.207,8.926,-0.471,1.0,38.0,24.0
619,1.5.5,5,Dinesh Karthik,102,True,Rohit Sharma,107,Dirk Nannes,237,False,SEAM,,,0,0,0,0.0,,,,,66.0,34.0
619,1.5.6,6,Dinesh Karthik,102,True,Rohit Sharma,107,Dirk Nannes,237,False,SEAM,38.348,,0,0,0,0.0,-0.085,4.658,-0.391,0.642,54.0,41.0
619,1.6.1,1,Rohit Sharma,107,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,37.205,,1,0,0,0.0,-0.084,7.057,0.276,0.622,5.0,5.0
619,1.6.2,2,Dinesh Karthik,102,True,Rohit Sharma,107,Ankit Rajpoot,1106,False,SEAM,36.719,,4,4,4,0.0,-0.52,8.981,-0.584,0.863,88.0,66.0
619,1.6.3,3,Dinesh Karthik,102,True,Rohit Sharma,107,Ankit Rajpoot,1106,False,SEAM,36.981,,1,1,1,0.0,-0.252,7.504,-0.03,0.832,70.0,46.0
619,1.6.4,4,Rohit Sharma,107,True,Dinesh Karthik,102,Ankit Rajpoot,1106,False,SEAM,36.951,,1,1,1,0.0,-0.257,8.078,0.018,1.006,69.0,45.0
619,1.6.5,5,Dinesh Karthik,102,True,Rohit Sharma,107,Ankit Rajpoot,1106,False,SEAM,36.617,,0,0,0,0.0,-0.664,8.94,-0.75,0.982,34.0,32.0
619,1.6.6,6,Dinesh Karthik,102,True,Rohit Sharma,107,Ankit Rajpoot,1106,False,SEAM,37.084,,6,6,6,0.0,-0.36,10.091,-0.037,1.264,94.0,38.0
619,1.7.1,1,Rohit Sharma,107,True,Dinesh Karthik,102,Dwayne Bravo,25,True,MEDIUM_SEAM,36.142,c ms dhoni b dwayne bravo,0,0,0,0.0,-0.452,7.598,-0.017,0.844,0.0,0.0
619,1.7.2,2,Ambati Rayudu,100,True,Dinesh Karthik,102,Dwayne Bravo,25,True,MEDIUM_SEAM,36.585,,1,1,1,0.0,-0.799,10.89,-0.773,1.297,11.0,35.0
619,1.7.3,3,Dinesh Karthik,102,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,36.582,,2,2,2,0.0,-0.518,7.036,-0.363,0.737,38.0,10.0
619,1.7.4,4,Dinesh Karthik,102,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,36.812,,0,0,0,0.0,-0.345,7.052,0.013,0.856,58.0,39.0
619,1.7.5,5,Dinesh Karthik,102,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,36.723,,1,0,1,0.0,0.101,4.634,0.394,0.498,5.0,5.0
619,1.7.6,5,Dinesh Karthik,102,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,35.699,,4,4,4,0.0,-0.767,8.007,-0.628,0.947,11.0,22.0
619,1.7.7,6,Dinesh Karthik,102,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,35.753,,0,0,0,0.0,-0.83,9.739,-0.995,0.838,5.0,5.0
619,1.8.1,1,Ambati Rayudu,100,True,Dinesh Karthik,102,Ben Laughlin,921,False,SEAM,35.652,,1,1,1,0.0,-0.332,9.027,-0.381,0.918,34.0,24.0
619,1.8.2,2,Dinesh Karthik,102,True,Ambati Rayudu,100,Ben Laughlin,921,False,SEAM,36.735,,1,1,1,0.0,-0.41,9.134,-0.527,0.877,18.0,18.0
619,1.8.3,3,Ambati Rayudu,100,True,Dinesh Karthik,102,Ben Laughlin,921,False,SEAM,37.303,,1,1,1,0.0,-0.235,10.967,-0.069,1.28,88.0,27.0
619,1.8.4,4,Dinesh Karthik,102,True,Ambati Rayudu,100,Ben Laughlin,921,False,SEAM,36.161,,1,1,1,0.0,0.038,0.413,0.053,0.078,86.0,22.0
619,1.8.5,5,Ambati Rayudu,100,True,Dinesh Karthik,102,Ben Laughlin,921,False,SEAM,37.231,,1,1,1,0.0,-0.256,6.895,-0.176,0.731,63.0,81.0
619,1.8.6,6,Dinesh Karthik,102,True,Ambati Rayudu,100,Ben Laughlin,921,False,SEAM,38.498,,1,1,1,0.0,-0.215,8.094,-0.063,0.735,26.0,18.0
619,1.9.1,1,Dinesh Karthik,102,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,36.592,,4,4,4,0.0,-0.195,5.516,-0.026,0.577,87.0,66.0
619,1.9.2,2,Dinesh Karthik,102,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,,lbw dwayne bravo,0,0,0,0.0,-0.222,6.274,0.097,0.616,0.0,0.0
619,1.9.3,3,Kieron Pollard,210,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,38.537,,0,0,0,0.0,-0.345,12.457,0.263,1.73,5.0,5.0
619,1.9.4,4,Kieron Pollard,210,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,36.426,,4,4,4,0.0,-0.631,10.14,-0.602,1.215,10.0,23.0
619,1.9.5,5,Kieron Pollard,210,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,37.384,,4,4,4,0.0,-0.045,6.332,0.301,0.65,92.0,24.0
619,1.9.6,6,Kieron Pollard,210,True,Ambati Rayudu,100,Dwayne Bravo,25,True,MEDIUM_SEAM,36.387,,0,0,0,0.0,-0.595,10.944,-0.387,1.27,33.0,32.0
619,1.10.1,1,Ambati Rayudu,100,True,Kieron Pollard,210,Ravindra Jadeja,9,False,ORTHODOX,25.791,,1,1,1,0.0,-0.157,4.179,-0.04,0.476,70.0,73.0
619,1.10.2,2,Kieron Pollard,210,True,Ambati Rayudu,100,Ravindra Jadeja,9,False,ORTHODOX,25.642,,1,1,1,0.0,-0.162,5.493,0.033,0.629,83.0,28.0
619,1.10.3,3,Ambati Rayudu,100,True,Kieron Pollard,210,Ravindra Jadeja,9,False,ORTHODOX,26.33,,0,0,0,0.0,-0.23,7.035,-0.074,0.822,60.0,51.0
619,1.10.4,4,Ambati Rayudu,100,True,Kieron Pollard,210,Ravindra Jadeja,9,False,ORTHODOX,25.145,,0,0,0,0.0,-0.233,6.794,-0.102,0.794,64.0,43.0
619,1.10.5,5,Ambati Rayudu,100,True,Kieron Pollard,210,Ravindra Jadeja,9,False,ORTHODOX,26.469,,1,1,1,0.0,-0.196,4.552,-0.095,0.6,59.0,85.0
